id,discovered_at,source_type,source_url,topic,title_candidate,category,target_keyword,patient_intent,priority,medical_risk,status,publish_date,notes
TOPIC-20260511-001,2026-05-11,trend,,AIによる歯科診断の活用範囲,AIで歯科診断はどこまで変わる？現場での使われ方を解説,その他,AI 歯科診断,AIが歯科診断にどう関わるのか、安全性や限界も含めて知りたい,high,high,idea,2026-05-20,要エビデンス確認
TOPIC-20260511-002,2026-05-10,news,https://example.com/news/dental-checkup,学校歯科健診の結果の見方,学校歯科健診の結果をどう読む？受診目安をわかりやすく紹介,予防歯科,学校歯科健診,健診結果を見て受診が必要か判断したい,medium,low,approved,2026-05-24,保護者向け
TOPIC-20260511-003,2026-05-09,seasonal,,梅雨時期の歯ぐきトラブル,梅雨に歯ぐきが腫れやすいのはなぜ？歯周病との関係を解説,歯周病治療,歯ぐき 腫れ 梅雨,季節要因で歯ぐきの不調が起こる理由を知りたい,high,medium,drafting,2026-05-28,季節ネタ
TOPIC-20260511-004,2026-05-08,clinic,,親知らず相談の受診目安,親知らずはいつ相談すべき？受診のタイミングと注意点,親知らず,親知らず 相談 いつ,抜くべきか相談すべきかを知りたい,medium,medium,reviewed,2026-06-01,外来導線に接続
TOPIC-20260511-005,2026-05-07,seo,,根管治療の通院回数,根管治療は何回かかる？通院回数の目安と流れを解説,根管治療,根管治療 回数,何回通うのか、治療の流れを知りたい,high,high,published,2026-06-03,検索需要あり
TOPIC-20260511-006,2026-05-06,patient_question,,子どものフッ素塗布の頻度,子どものフッ素塗布はどれくらい必要？通院頻度の目安,小児歯科,子ども フッ素 頻度,子どものフッ素塗布の適切な頻度を知りたい,medium,low,hold,2026-06-05,検証待ち
TOPIC-20260511-007,2026-05-11,seo,,初期虫歯の見分け方,初期虫歯はどう見分ける？白い斑点やしみる症状のチェック,虫歯治療,初期虫歯 見分け方,初期虫歯かどうかを自分で確認したい,medium,medium,idea,2026-05-22,要セルフチェックの表現整理
TOPIC-20260511-008,2026-05-11,patient_question,,詰め物が取れたときの対応,詰め物が取れたらどうする？受診までの注意点,虫歯治療,詰め物 取れた どうする,応急対応と受診の目安を知りたい,high,high,idea,2026-05-23,早め受診の案内
TOPIC-20260511-009,2026-05-11,seasonal,,夏に冷たいものがしみるとき,冷たいものがしみるのは虫歯？夏に気づきやすい症状と受診目安,虫歯治療,冷たいもの しみる 虫歯,しみる原因と受診目安を知りたい,medium,medium,idea,2026-05-24,季節性の関心あり
TOPIC-20260511-010,2026-05-11,clinic,,根管治療の仮詰め,根管治療の仮詰め期間はどれくらい？外れたときの注意点,根管治療,根管治療 仮詰め,仮詰めの期間と注意点を知りたい,high,high,idea,2026-05-25,通院中の不安解消
TOPIC-20260511-011,2026-05-11,seo,,根管治療後の違和感,根管治療後に違和感があるのは普通？受診が必要なサイン,根管治療,根管治療後 違和感,治療後の痛みや違和感の目安を知りたい,high,medium,idea,2026-05-26,症状の目安を明確化
TOPIC-20260511-012,2026-05-11,patient_question,,根管治療の通院間隔,根管治療はどのくらい通う？通院間隔の目安,根管治療,根管治療 通院間隔,通院回数と間隔の目安を知りたい,high,high,idea,2026-05-27,通院計画の参考
TOPIC-20260511-013,2026-05-11,seasonal,,梅雨時期の歯ぐきケア,梅雨に歯ぐきが腫れやすいのはなぜ？歯周病との関係を解説,歯周病治療,歯ぐき 腫れ 梅雨,季節要因で歯ぐきの不調が起こる理由を知りたい,medium,medium,idea,2026-05-28,既存ネタの補強
TOPIC-20260511-014,2026-05-11,seo,,歯石の取り方,歯石は自分で取れる？歯科でのケアと注意点,歯周病治療,歯石 取れる,歯石の扱いとクリーニング方法を知りたい,medium,medium,idea,2026-05-29,自己処置の注意喚起
TOPIC-20260511-015,2026-05-11,patient_question,,口臭と歯周病,口臭が続くときは歯周病のサイン？確認したいポイント,歯周病治療,口臭 歯周病,口臭と歯周病の関係を知りたい,medium,medium,idea,2026-05-30,相談導線につなぐ
